tconst	ordering	nconst	category	job	characters
tt0050976	8	nm0005705	cinematographer	\N	\N
tt0050976	9	nm0906307	editor	\N	\N
tt0050986	1	nm0803705	actor	\N	["Dr. Eberhard Isak Borg"]
tt0050986	2	nm0000761	actress	\N	["Sara","Hitchhiker"]
tt0050986	3	nm0862026	actress	\N	["Marianne Borg"]
tt0050986	4	nm0085038	actor	\N	["Dr. Evald Borg"]
tt0050986	5	nm0000005	director	\N	\N
tt0050986	6	nm0635059	composer	\N	\N
tt0050986	7	nm0005705	cinematographer	\N	\N
tt0050986	8	nm0741013	editor	\N	\N
tt0050986	9	nm0349023	production_designer	\N	\N
tt0052618	10	nm0067103	writer	contributing writer	\N
tt0052618	1	nm0000032	actor	\N	["Judah Ben-Hur"]
tt0052618	2	nm0370144	actor	\N	["Quintus Arrius"]
tt0052618	3	nm0000963	actor	\N	["Messala"]
tt0052618	4	nm0361823	actress	\N	["Esther"]
tt0052618	5	nm0943758	director	\N	\N
tt0052618	6	nm0908753	writer	A Tale of Christ	\N
tt0052618	7	nm0876562	writer	screen play by	\N
tt0052618	8	nm0000683	writer	contributing writer	\N
tt0052618	9	nm0027173	writer	contributing writer	\N
tt0053291	10	nm0485702	cinematographer	director of photography	\N
tt0053291	1	nm0000054	actress	\N	["Sugar Kane Kowalczyk"]
tt0053291	2	nm0000348	actor	\N	["Joe","Josephine","Shell Oil Junior"]
tt0053291	3	nm0000493	actor	\N	["Jerry","Daphne"]
tt0053291	4	nm0706368	actor	\N	["Spats Colombo"]
tt0053291	5	nm0000697	director	\N	\N
tt0053291	6	nm0224634	writer	screenplay	\N
tt0053291	7	nm0858329	writer	suggested by a story by	\N
tt0053291	8	nm0517615	writer	suggested by a story by	\N
tt0053291	9	nm0006037	composer	\N	\N
tt0053604	1	nm0000493	actor	\N	["C.C. Baxter"]
tt0053604	2	nm0000511	actress	\N	["Fran Kubelik"]
tt0053604	3	nm0534045	actor	\N	["Jeff D. Sheldrake"]
tt0053604	4	nm0001827	actor	\N	["Joe Dobisch"]
tt0053604	5	nm0000697	director	\N	\N
tt0053604	6	nm0224634	writer	written by	\N
tt0053604	7	nm0006037	composer	\N	\N
tt0053604	8	nm0005766	cinematographer	director of photography	\N
tt0053604	9	nm0541721	editor	film editor	\N
tt0055031	10	nm0461772	editor	film editor	\N
tt0055031	1	nm0000075	actor	\N	["Chief Judge Dan Haywood"]
tt0055031	2	nm0000044	actor	\N	["Dr. Ernst Janning"]
tt0055031	3	nm0001847	actor	\N	["Col. Tad Lawson"]
tt0055031	4	nm0000017	actress	\N	["Mrs. Bertholt"]
tt0055031	5	nm0006452	director	\N	\N
tt0055031	6	nm0542631	writer	written by	\N
tt0055031	7	nm0001050	writer	\N	\N
tt0055031	8	nm0006104	composer	\N	\N
tt0055031	9	nm0005768	cinematographer	\N	\N
tt0055630	10	nm0613499	production_designer	\N	\N
tt0055630	1	nm0001536	actor	\N	["Sanjuro Kuwabatake","The Samurai"]
tt0055630	2	nm0867391	actor	\N	["Gonji - Tavern Keeper"]
tt0055630	3	nm0619938	actor	\N	["Unosuke - Gunfighter"]
tt0055630	4	nm0875362	actress	\N	["Nui"]
tt0055630	5	nm0000041	director	\N	\N
tt0055630	6	nm0452878	writer	screenplay	\N
tt0055630	7	nm0849083	producer	producer	\N
tt0055630	8	nm0766496	composer	\N	\N
tt0055630	9	nm0594335	cinematographer	\N	\N
tt0056592	10	nm0005737	cinematographer	director of photography	\N
tt0056592	1	nm0000060	actor	\N	["Atticus Finch"]
tt0056592	2	nm0576345	actor	\N	["Dill Harris"]
tt0056592	3	nm0653942	actor	\N	["Sheriff Heck Tate"]
tt0056592	4	nm0614677	actress	\N	["Maudie Atkinson"]
tt0056592	5	nm0612322	director	\N	\N
tt0056592	6	nm0497369	writer	based on her novel "To Kill a Mockingbird"	\N
tt0056592	7	nm0285210	writer	screenplay by	\N
tt0056592	8	nm0001587	producer	producer	\N
tt0056592	9	nm0000930	composer	\N	\N
tt0057115	10	nm0005701	cinematographer	director of photography	\N
tt0057115	1	nm0000537	actor	\N	["Hilts 'The Cooler King'"]
tt0057115	2	nm0001258	actor	\N	["Hendley 'The Scrounger'"]
tt0057115	3	nm0000277	actor	\N	["Bartlett 'Big X'"]
tt0057115	4	nm0000314	actor	\N	["Danny 'Tunnel King'"]
tt0057115	5	nm0836328	director	\N	\N
tt0057115	6	nm0108595	writer	based on the book by	\N
tt0057115	7	nm0165412	writer	screen play by	\N
tt0057115	8	nm0122446	writer	screen play by	\N
tt0057115	9	nm0000930	composer	\N	\N
tt0059578	10	nm0223964	writer	\N	\N
tt0059578	1	nm0000142	actor	\N	["Monco"]
tt0059578	2	nm0001812	actor	\N	["Col. Douglas Mortimer"]
tt0059578	3	nm0002231	actor	\N	["El Indio (The Indian)"]
tt0059578	4	nm0472756	actress	\N	["Mary - Hotel Manager's Beautiful Wife"]
tt0059578	5	nm0001466	director	\N	\N
tt0059578	6	nm0607694	writer	scenario	\N
tt0059578	7	nm0898812	writer	screenplay	\N
tt0059578	8	nm0006872	writer	\N	\N
tt0059578	9	nm0217258	writer	original treatment	\N
tt0066921	1	nm0000532	actor	\N	["Alex"]
tt0066921	2	nm0535861	actor	\N	["Mr Alexander"]
tt0066921	3	nm0060988	actor	\N	["Chief Guard"]
tt0066921	4	nm0165049	actor	\N	["Dim"]
tt0066921	5	nm0000040	director	\N	\N
tt0066921	6	nm0121256	writer	novel	\N
tt0066921	7	nm0005633	cinematographer	\N	\N
tt0066921	8	nm0124833	editor	\N	\N
tt0066921	9	nm0058045	production_designer	\N	\N
tt0070735	10	nm0005892	cinematographer	director of photography	\N
tt0070735	1	nm0000056	actor	\N	["Henry Gondorff"]
tt0070735	2	nm0000602	actor	\N	["Johnny Hooker"]
tt0070735	3	nm0001727	actor	\N	["Doyle Lonnegan"]
tt0070735	4	nm0001164	actor	\N	["Lt. Wm. Snyder"]
tt0070735	5	nm0001351	director	\N	\N
tt0070735	6	nm0911486	writer	written by	\N
tt0070735	7	nm0082300	producer	producer	\N
tt0070735	8	nm0680539	producer	producer	\N
tt0070735	9	nm0680635	producer	producer	\N
tt0071315	10	nm0642714	editor	film editor	\N
tt0071315	1	nm0000197	actor	\N	["J.J. Gittes"]
tt0071315	2	nm0001159	actress	\N	["Evelyn Mulwray"]
tt0071315	3	nm0001379	actor	\N	["Noah Cross"]
tt0071315	4	nm0520164	actor	\N	["Escobar"]
tt0071315	5	nm0000591	director	\N	\N
tt0071315	6	nm0001801	writer	written by	\N
tt0071315	7	nm0263172	producer	producer	\N
tt0071315	8	nm0000025	composer	\N	\N
tt0071315	9	nm0002166	cinematographer	director of photography	\N
tt0071853	10	nm0066055	cinematographer	\N	\N
tt0477348	7	nm0565092	writer	novel	\N
tt0071853	1	nm0001037	actor	\N	["King Arthur","Voice of God","Middle Head"]
tt0071853	2	nm0000092	actor	\N	["Second Swallow-Savvy Guard","The Black Knight","Peasant 3"]
tt0071853	3	nm0001385	actor	\N	["Dead Collector","Peasant 1","Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot"]
tt0071853	4	nm0000416	actor	\N	["Patsy","Green Knight","Old Man from Scene 24 (Bridgekeeper)"]
tt0071853	5	nm0001402	director	\N	\N
tt0071853	6	nm0001589	writer	written by	\N
tt0071853	7	nm0540627	writer	\N	\N
tt0071853	8	nm0286926	producer	producer	\N
tt0071853	9	nm0925214	producer	producer	\N
tt0072684	1	nm0641939	actor	\N	["Barry Lyndon"]
tt0072684	2	nm0001943	actress	\N	["Lady Honoria Lyndon"]
tt0072684	3	nm0535861	actor	\N	["The Chevalier du Balibari"]
tt0072684	4	nm0473228	actor	\N	["Capt. Potzdorf"]
tt0072684	5	nm0000040	director	\N	\N
tt0072684	6	nm0856842	writer	novel "The Memoirs of Barry Lyndon, Esq."	\N
tt0072684	7	nm0005633	cinematographer	\N	\N
tt0072684	8	nm0493339	editor	\N	\N
tt0072684	9	nm0010553	production_designer	\N	\N
tt0075314	10	nm0152469	cinematographer	director of photography	\N
tt0075314	1	nm0000134	actor	\N	["Travis Bickle"]
tt0075314	2	nm0000149	actress	\N	["Iris"]
tt0075314	3	nm0001732	actress	\N	["Betsy"]
tt0075314	4	nm0000983	actor	\N	["Tom"]
tt0075314	5	nm0000217	director	\N	\N
tt0075314	6	nm0001707	writer	written by	\N
tt0075314	7	nm0680539	producer	producer	\N
tt0075314	8	nm0680635	producer	producer	\N
tt0075314	9	nm0002136	composer	\N	\N
tt0077416	10	nm0678911	producer	producer	\N
tt0077416	1	nm0000134	actor	\N	["Michael"]
tt0077416	2	nm0000686	actor	\N	["Nick"]
tt0077416	3	nm0001030	actor	\N	["Stan"]
tt0077416	4	nm0001698	actor	\N	["Steven"]
tt0077416	5	nm0001047	director	\N	\N
tt0077416	6	nm0913346	writer	story	\N
tt0077416	7	nm0307311	writer	story	\N
tt0077416	8	nm0714793	writer	story	\N
tt0077416	9	nm0214303	producer	producer	\N
tt0080678	10	nm0762674	producer	producer	\N
tt0080678	1	nm0000164	actor	\N	["Dr. Frederick Treves"]
tt0080678	2	nm0000457	actor	\N	["John Merrick"]
tt0080678	3	nm0000843	actress	\N	["Mrs. Kendal"]
tt0080678	4	nm0000024	actor	\N	["Carr Gomm"]
tt0080678	5	nm0000186	director	\N	\N
tt0080678	6	nm0212246	writer	screenplay	\N
tt0080678	7	nm0075015	writer	screenplay	\N
tt0080678	8	nm0872375	writer	book "The Elephant Man and Other Reminiscences"	\N
tt0080678	9	nm0598744	writer	in part on the book "The Elephant Man: A Study in Human Dignity"	\N
tt0081398	10	nm0552731	writer	screenplay	\N
tt0081398	1	nm0000134	actor	\N	["Jake La Motta"]
tt0081398	2	nm0001550	actress	\N	["Vickie La Motta"]
tt0081398	3	nm0000582	actor	\N	["Joey"]
tt0081398	4	nm0898634	actor	\N	["Salvy"]
tt0081398	5	nm0000217	director	\N	\N
tt0081398	6	nm0483766	writer	based on the book by	\N
tt0081398	7	nm0141734	writer	with	\N
tt0081398	8	nm0678014	writer	with	\N
tt0081398	9	nm0001707	writer	screenplay	\N
tt0083658	10	nm0006331	composer	\N	\N
tt0083658	1	nm0000148	actor	\N	["Deckard"]
tt0083658	2	nm0000442	actor	\N	["Batty"]
tt0083658	3	nm0000707	actress	\N	["Rachael"]
tt0083658	4	nm0001579	actor	\N	["Gaff"]
tt0083658	5	nm0000631	director	\N	\N
tt0083658	6	nm0266684	writer	screenplay	\N
tt0083658	7	nm0672459	writer	screenplay	\N
tt0083658	8	nm0001140	writer	novel "Do Androids Dream of Electric Sheep?"	\N
tt0083658	9	nm0214303	producer	producer	\N
tt0084787	10	nm0001553	composer	\N	\N
tt0084787	1	nm0000621	actor	\N	["MacReady"]
tt0084787	2	nm0000979	actor	\N	["Dr. Blair"]
tt0084787	3	nm0202966	actor	\N	["Childs"]
tt0084787	4	nm0557956	actor	\N	["Clark"]
tt0084787	5	nm0000118	director	\N	\N
tt0084787	6	nm0484111	writer	screenplay	\N
tt0084787	7	nm0132168	writer	story	\N
tt0084787	8	nm0287759	producer	producer	\N
tt0084787	9	nm0877274	producer	producer	\N
tt0086250	10	nm0106840	producer	producer	\N
tt0086250	1	nm0000199	actor	\N	["Tony Montana"]
tt0086250	2	nm0000201	actress	\N	["Elvira"]
tt0086250	3	nm0000874	actor	\N	["Manny Ribera"]
tt0086250	4	nm0001512	actress	\N	["Gina"]
tt0086250	5	nm0000361	director	\N	\N
tt0086250	6	nm0000231	writer	screenplay by	\N
tt0086250	7	nm0001328	writer	\N	\N
tt0086250	8	nm0372942	writer	\N	\N
tt0086250	9	nm0870660	writer	based on the novel by	\N
tt0089881	10	nm0797889	producer	producer	\N
tt0089881	1	nm0619938	actor	\N	["Lord Hidetora Ichimonji"]
tt0089881	2	nm0855417	actor	\N	["Taro Takatora Ichimonji"]
tt0089881	3	nm0628704	actor	\N	["Jiro Masatora Ichimonji"]
tt0089881	4	nm0753480	actor	\N	["Saburo Naotora Ichimonji"]
tt0089881	5	nm0000041	director	\N	\N
tt0089881	6	nm0644823	writer	screenplay	\N
tt0089881	7	nm0406836	writer	screenplay	\N
tt0089881	8	nm0000636	writer	play "King Lear"	\N
tt0089881	9	nm0361683	producer	producer	\N
tt0093058	8	nm0473588	composer	\N	\N
tt0093058	10	nm0402950	editor	\N	\N
tt0093058	1	nm0000546	actor	\N	["Pvt. Joker"]
tt0093058	2	nm0000388	actor	\N	["Gny. Sgt. Hartman"]
tt0093058	3	nm0000352	actor	\N	["Pvt. Pyle"]
tt0093058	4	nm0000284	actor	\N	["Animal Mother"]
tt0093058	5	nm0000040	director	\N	\N
tt0093058	6	nm0380282	writer	screenplay by	\N
tt0093058	7	nm0368007	writer	screenplay by	\N
tt0093058	9	nm0005801	cinematographer	\N	\N
tt0095016	10	nm0005428	producer	producer	\N
tt0095016	1	nm0000246	actor	\N	["John McClane"]
tt0095016	2	nm0000614	actor	\N	["Hans Gruber"]
tt0095016	3	nm0000889	actress	\N	["Holly Gennaro McClane"]
tt0095016	4	nm0001817	actor	\N	["Sgt. Al Powell"]
tt0095016	5	nm0001532	director	\N	\N
tt0095016	6	nm0861636	writer	based on the novel by	\N
tt0095016	7	nm0835732	writer	screenplay by	\N
tt0095016	8	nm0211823	writer	screenplay by	\N
tt0095016	9	nm0330379	producer	producer	\N
tt0096283	10	nm0794174	cinematographer	\N	\N
tt0096283	1	nm0847054	actor	\N	["Totoro"]
tt0096283	2	nm0383022	actress	\N	["Satsuki"]
tt0096283	3	nm0757076	actress	\N	["Mei"]
tt0096283	4	nm0411790	actor	\N	["Tatsuo Kusakabe"]
tt0096283	5	nm0594503	director	\N	\N
tt0096283	6	nm0361701	producer	producer	\N
tt0096283	7	nm1566098	producer	producer	\N
tt0096283	8	nm0386749	composer	\N	\N
tt0096283	9	nm1147210	cinematographer	\N	\N
tt0097576	10	nm0915226	producer	producer	\N
tt0097576	1	nm0000148	actor	\N	["Indiana Jones"]
tt0097576	2	nm0000125	actor	\N	["Professor Henry Jones"]
tt0097576	3	nm0233145	actress	\N	["Elsa"]
tt0097576	4	nm0001186	actor	\N	["Marcus Brody"]
tt0097576	5	nm0000229	director	\N	\N
tt0097576	6	nm0090151	writer	screenplay	\N
tt0097576	7	nm0000184	writer	story	\N
tt0097576	8	nm0583675	writer	story	\N
tt0097576	9	nm0442241	writer	characters	\N
tt0105695	1	nm0000142	actor	\N	["Bill Munny"]
tt0105695	2	nm0000432	actor	\N	["Little Bill Daggett"]
tt0105695	3	nm0000151	actor	\N	["Ned Logan"]
tt0105695	4	nm0001321	actor	\N	["English Bob"]
tt0105695	5	nm0672459	writer	written by	\N
tt0105695	6	nm0006215	composer	\N	\N
tt0105695	7	nm0005726	cinematographer	director of photography	\N
tt0105695	8	nm0185088	editor	\N	\N
tt0105695	9	nm0120317	production_designer	\N	\N
tt0107207	10	nm0357421	editor	\N	\N
tt0107207	1	nm0000358	actor	\N	["Gerry Conlon"]
tt0107207	2	nm0000592	actor	\N	["Giuseppe Conlon"]
tt0107207	3	nm0188949	actress	\N	["Girl in Pub"]
tt0107207	4	nm2535022	actor	\N	["Guildford Soldier"]
tt0107207	5	nm0006487	director	\N	\N
tt0107207	6	nm0174840	writer	autobiographical book "Proved Innocent"	\N
